"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/01/2017","180030002","1","0.038","ppm","35","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/02/2017","180030002","1","0.04","ppm","37","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/03/2017","180030002","1","0.044","ppm","41","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/04/2017","180030002","1","0.037","ppm","34","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/05/2017","180030002","1","0.041","ppm","38","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/06/2017","180030002","1","0.039","ppm","36","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/07/2017","180030002","1","0.041","ppm","38","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/08/2017","180030002","1","0.045","ppm","42","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/09/2017","180030002","1","0.042","ppm","39","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/10/2017","180030002","1","0.041","ppm","38","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/11/2017","180030002","1","0.042","ppm","39","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/12/2017","180030002","1","0.042","ppm","39","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/13/2017","180030002","1","0.037","ppm","34","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/14/2017","180030002","1","0.042","ppm","39","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/15/2017","180030002","1","0.043","ppm","40","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/16/2017","180030002","1","0.046","ppm","43","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/17/2017","180030002","1","0.032","ppm","30","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/18/2017","180030002","1","0.023","ppm","21","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/19/2017","180030002","1","0.034","ppm","31","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/20/2017","180030002","1","0.033","ppm","31","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/21/2017","180030002","1","0.046","ppm","43","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/22/2017","180030002","1","0.043","ppm","40","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/23/2017","180030002","1","0.04","ppm","37","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/24/2017","180030002","1","0.054","ppm","50","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/25/2017","180030002","1","0.031","ppm","29","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/26/2017","180030002","1","0.037","ppm","34","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/27/2017","180030002","1","0.035","ppm","32","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/28/2017","180030002","1","0.028","ppm","26","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/29/2017","180030002","1","0.042","ppm","39","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/30/2017","180030002","1","0.03","ppm","28","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"03/31/2017","180030002","1","0.034","ppm","31","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/01/2017","180030002","1","0.047","ppm","44","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/02/2017","180030002","1","0.047","ppm","44","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/03/2017","180030002","1","0.038","ppm","35","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/04/2017","180030002","1","0.043","ppm","40","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/05/2017","180030002","1","0.039","ppm","36","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/06/2017","180030002","1","0.037","ppm","34","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/07/2017","180030002","1","0.046","ppm","43","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/08/2017","180030002","1","0.054","ppm","50","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/09/2017","180030002","1","0.058","ppm","61","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/10/2017","180030002","1","0.052","ppm","48","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/11/2017","180030002","1","0.031","ppm","29","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/12/2017","180030002","1","0.045","ppm","42","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/13/2017","180030002","1","0.038","ppm","35","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/14/2017","180030002","1","0.046","ppm","43","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/15/2017","180030002","1","0.056","ppm","54","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/16/2017","180030002","1","0.053","ppm","49","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/17/2017","180030002","1","0.052","ppm","48","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/18/2017","180030002","1","0.055","ppm","51","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/19/2017","180030002","1","0.039","ppm","36","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/20/2017","180030002","1","0.043","ppm","40","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/21/2017","180030002","1","0.034","ppm","31","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/22/2017","180030002","1","0.043","ppm","40","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/23/2017","180030002","1","0.051","ppm","47","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/24/2017","180030002","1","0.055","ppm","51","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/25/2017","180030002","1","0.045","ppm","42","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/26/2017","180030002","1","0.058","ppm","61","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/27/2017","180030002","1","0.036","ppm","33","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/28/2017","180030002","1","0.028","ppm","26","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/29/2017","180030002","1","0.034","ppm","31","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"04/30/2017","180030002","1","0.039","ppm","36","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"05/01/2017","180030002","1","0.045","ppm","42","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"05/02/2017","180030002","1","0.045","ppm","42","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"05/03/2017","180030002","1","0.044","ppm","41","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"05/04/2017","180030002","1","0.043","ppm","40","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"05/05/2017","180030002","1","0.047","ppm","44","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"05/06/2017","180030002","1","0.04","ppm","37","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"05/07/2017","180030002","1","0.052","ppm","48","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"05/08/2017","180030002","1","0.051","ppm","47","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"05/09/2017","180030002","1","0.04","ppm","37","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"05/10/2017","180030002","1","0.054","ppm","50","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"05/11/2017","180030002","1","0.05","ppm","46","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"05/12/2017","180030002","1","0.05","ppm","46","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"05/13/2017","180030002","1","0.058","ppm","61","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"05/14/2017","180030002","1","0.059","ppm","64","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"05/15/2017","180030002","1","0.046","ppm","43","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
"05/16/2017","180030002","1","0.068","ppm","93","17","100.0000","44201","Ozone","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.2214176","-85.0168207"
