"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","550030010","1","0.034","ppm","31","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/02/2017","550030010","1","0.033","ppm","31","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/03/2017","550030010","1","0.035","ppm","32","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/04/2017","550030010","1","0.037","ppm","34","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/05/2017","550030010","1","0.037","ppm","34","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/06/2017","550030010","1","0.035","ppm","32","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/07/2017","550030010","1","0.036","ppm","33","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/08/2017","550030010","1","0.038","ppm","35","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/11/2017","550030010","1","0.031","ppm","29","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/12/2017","550030010","1","0.037","ppm","34","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/13/2017","550030010","1","0.039","ppm","36","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/14/2017","550030010","1","0.035","ppm","32","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/15/2017","550030010","1","0.043","ppm","40","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/16/2017","550030010","1","0.033","ppm","31","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/17/2017","550030010","1","0.035","ppm","32","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/18/2017","550030010","1","0.04","ppm","37","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/19/2017","550030010","1","0.028","ppm","26","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/20/2017","550030010","1","0.024","ppm","22","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/21/2017","550030010","1","0.028","ppm","26","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/22/2017","550030010","1","0.02","ppm","19","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/23/2017","550030010","1","0.009","ppm","8","17","100.0000","44201","Ozone","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
